"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"53","293.5717598527988","341.7785431367546","4.996659684121246","-0.30683792833129964","0.017822265625","0.005859375","0.02978515625","1300","0.00016166620682153693","0","0.00016166620682153693","0.00016166620682153693","53_60:0.008340151318745936","53_60:660","true"
"54","234.3607738005135","144.71741843272181","4.969561662798137","-0.3069935236147513","0.017578125","0.02001953125","0.01513671875","1300","0.000464567181446305","0","0.000464567181446305","0.000464567181446305","54_64:0.012062830724220708;54_45:0.02422376385390168","54_64:660;54_45:660","true"
"55","253.80229081027878","108.31714042980032","4.837201205601502","-0.31038048092010345","0.017578125","0.0107421875","0.0244140625","1300","0.0002005104984188097","0","0.0002005104984188097","0.0002005104984188097","55_68:0.006594729425566936;55_49:0.008545332187154475","55_68:660;55_49:660","true"
"56","304.5330192108991","137.4668714149686","4.8145299797331536","-0.30974571553277236","0.0205078125","0.0146484375","0.0263671875","1300","0.00013718303178056405","0","0.00013718303178056405","0.00013718303178056405","56_57:0.004359799760626337","56_57:660","true"
"57","229.56313984733518","116.66815927254781","4.927646737071267","-0.30778611849622645","0.0166015625","0.01171875","0.021484375","1300","0.00011401320358938811","0","0.00011401320358938811","0.00011401320358938811","57_58:0.005393404989210815","57_58:660","true"
"58","266.77225845057","177.00585968558457","4.8869753368912425","-0.30930018015034827","0.0146484375","0.01171875","0.017578125","1300","0.0003334985632803814","0","0.0003334985632803814","0.0003334985632803814","58_71:0.011757249046491058;58_59:0.004894201200941195","58_71:660;58_59:660","true"
"59","269.6506184401385","30.65440700365186","4.971231402420406","-0.30762691104199297","0.0166015625","0.01708984375","0.01611328125","1300","0.00015865743234391442","0","0.00015865743234391442","0.00015865743234391442","59_60:0.005286962265857176","59_60:660","true"
"60","199.49135241849115","112.28328817025276","4.766276897623932","-0.31054248475500074","0.025390625","0.02490234375","0.02587890625","1300","0.00038904050624540075","0","0.00038904050624540075","0.00038904050624540075","60_61:0.026673393642449583","60_61:660","true"
"61","248.23835975867772","168.8999312829526","4.793792668858865","-0.29056402780855567","0.012451171875","0.01123046875","0.013671875","1300","0.0003758947832303067","0","0.0003758947832303067","0.0003758947832303067","","","true"
"62","172.18463569507173","145.81255267403222","4.935217920537267","-0.3079921198487331","0.016845703125","0.0126953125","0.02099609375","1300","0.00022561860907837852","0","0.00022561860907837852","0.00022561860907837852","62_72:0.008896813430016082;62_61:0.006774344260438214;62_63:0.010347629438312966","62_72:660;62_61:660;62_63:660","true"
"63","165.15978708163934","186.18607082383735","5.041617525707789","-0.30694631371315323","0.0126953125","0.0126953125","0.0126953125","1300","0.00017895529235688643","0","0.00017895529235688643","0.00017895529235688643","63_64:0.006630025212961244","63_64:660","true"
"64","158.56360695081048","145.09016491612334","4.821562449872986","-0.30967161679000116","0.008056640625","0.00927734375","0.0068359375","1300","0.0002543406908369099","0","0.0002543406908369099","0.0002543406908369099","","","true"
"65","282.7655324639765","95.75420813867026","4.957159684317061","-0.3075262411046977","0.015625","0.0126953125","0.0185546875","1300","0.0001597422997046673","0","0.0001597422997046673","0.0001597422997046673","65_64:0.006444838230389771;65_66:0.0061037282366931955","65_64:660;65_66:660","true"
"66","349.63121999205526","191.926325955888","4.884987908371795","-0.3091067496263565","0.0087890625","0.0087890625","0.0087890625","1300","0.0002626972046792703","0","0.0002626972046792703","0.0002626972046792703","","","true"
"67","137.68506826403774","101.33848024129874","5.113935189156667","-0.3058889857295697","0.046630859375","0.03759765625","0.0556640625","1300","0.00022749735479836924","0","0.00022749735479836924","0.00022749735479836924","67_68:0.008751948491778017;67_66:0.006951556236881873","67_68:660;67_66:660","true"
"68","183.57618119247172","28.739805528079778","4.74376283474026","-0.31111458963233274","0.113037109375","0.19384765625","0.0322265625","1300","0.000286382380420253","0","0.000286382380420253","0.000286382380420253","","","true"
"69","223.35011500614732","146.27305138166358","5.117670799236115","-0.3044028997353383","0.01708984375","0.01220703125","0.02197265625","1300","0.00040345002050882166","0","0.00040345002050882166","0.00040345002050882166","69_68:0.010816656858059104;69_70:0.006145523883785198","69_68:660;69_70:660","true"
"70","227.77890493156306","72.4061261191418","4.898853179900534","-0.3082399407301921","0.078125","0.0634765625","0.0927734375","1300","0.0001653385336836643","0","0.0001653385336836643","0.0001653385336836643","","","true"
"71","116.64724546349775","165.31627680704173","4.788272933023957","-0.3094663460422399","0.0068359375","0.00537109375","0.00830078125","1300","0.00020111503490642614","0","0.00020111503490642614","0.00020111503490642614","","","true"
"72","260.7647043097849","155.166567226784","5.05918704604093","-0.2985458699744989","0.017578125","0.01611328125","0.01904296875","1300","0.00015647662770377853","0","0.00015647662770377853","0.00015647662770377853","","","true"
"73","279.34296216674363","135.75566851425336","4.9795908134158395","-0.307607369486609","0.021240234375","0.0078125","0.03466796875","1300","0.00024822506615284327","0","0.00024822506615284327","0.00024822506615284327","73_66:0.007087867645891699","73_66:660","true"
"74","240.13576421611825","96.5535497918574","5.03140312633717","-0.3067427013413316","0.20654296875","0.17626953125","0.23681640625","1300","1","0","1","1","74_70:0.025629180757850367;74_89:0.031691235935451034","74_70:660;74_89:660","true"
"75","264.47980377641056","27.358798691516924","5.0059500211908095","-0.30673349842246334","0.012451171875","0.0068359375","0.01806640625","1300","0.00024339984023887134","0","0.00024339984023887134","0.00024339984023887134","75_90:0.005725669872240435","75_90:660","true"
"76","318.824738165214","63.50446590415259","4.837421228997931","-0.30948286299394656","0.0126953125","0.01318359375","0.01220703125","1300","0.00016157927057471234","0","0.00016157927057471234","0.00016157927057471234","76_75:0.004985931603806226","76_75:660","true"
"77","274.74003834166626","150.86698651938318","5.041922097464688","-0.30723078653018854","0.032470703125","0.01171875","0.05322265625","1300","0.000484860258410639","0","0.000484860258410639","0.000484860258410639","77_76:0.009214416153828953;77_78:0.010452549050707416;77_71:0.010288786697252361","77_76:660;77_78:780;77_71:660","true"
"78","193.52808848061105","195.35537590138114","4.64340517524683","-0.31230747337772335","0.0087890625","0.0078125","0.009765625","1300","0.00019179001018995693","0","0.00019179001018995693","0.00019179001018995693","","","true"
"79","252.49781719978367","100.33569374406962","4.86317273264166","-0.3092713261857367","0.013427734375","0.01318359375","0.013671875","1300","0.00012804433387491205","0","0.00012804433387491205","0.00012804433387491205","79_78:0.005744656846467355;79_80:0.00486219353588746","79_78:660;79_80:660","true"
"80","260.4725009178757","256.8062439003766","5.031451727014473","-0.3072198090686745","0.01953125","0.017578125","0.021484375","1300","0.00016118644175186958","0","0.00016118644175186958","0.00016118644175186958","80_81:0.005465530723646805","80_81:660","true"
"81","315.3613095630069","345.68810674715326","4.930436272244525","-0.30841914125984865","0.0517578125","0.0576171875","0.0458984375","1300","1","0","1","1","81_82:0.005205664192288795;81_72:0.00526940590826952","81_82:660;81_72:660","true"
"82","275.35080390581106","239.73096906740264","4.8936204444799225","-0.30897996872816896","0.020751953125","0.017578125","0.02392578125","1300","0.0001688770550208814","0","0.0001688770550208814","0.0001688770550208814","82_83:0.004888367359175805","82_83:660","true"
"83","300.9090713298419","47.752020735562986","4.790695538309579","-0.31061744032224003","0.015625","0.01513671875","0.01611328125","1300","0.00017116688004276985","0","0.00017116688004276985","0.00017116688004276985","83_92:0.007538727851767457","83_92:660","true"
"84","263.9013805435968","142.6032512134647","4.679680997256357","-0.31137294267603616","0.01123046875","0.0107421875","0.01171875","1300","0.0001638348208354961","0","0.0001638348208354961","0.0001638348208354961","84_83:0.004682913121938914","84_83:660","true"
"85","291.82418313180494","97.12302540216457","5.104781711952043","-0.3061413803895981","0.018798828125","0.00927734375","0.0283203125","1300","0.0002224036921602758","0","0.0002224036921602758","0.0002224036921602758","85_73:0.005442303895368206;85_84:0.035816497844981254;85_86:0.008759178325843942","85_73:660;85_84:660;85_86:660","true"
"86","249.97002347489274","93.01994533553338","4.89881032679323","-0.3083187869423004","0.0400390625","0.03271484375","0.04736328125","1300","0.000424665479024438","0","0.000424665479024438","0.000424665479024438","86_87:0.012262678649806236","86_87:660","true"
"87","212.34213906584785","114.53643843769882","4.992076217076269","-0.307423102897223","0.02197265625","0.021484375","0.0224609375","1300","0.0008304783590238591","0","0.0008304783590238591","0.0008304783590238591","87_88:0.017043413657716333","87_88:660","true"
"88","133.40183787830688","17.64674436412181","5.0993383823412435","-0.3058997453558384","0.0751953125","0.05810546875","0.09228515625","1300","0.0006972559161395023","0","0.0006972559161395023","0.0006972559161395023","88_89:0.02198478220529232","88_89:660","true"
"89","97.57720307979024","12.945812445131825","4.956464339906959","-0.3077261951848229","0.059814453125","0.021484375","0.09814453125","1300","0.0004594162605384031","0","0.0004594162605384031","0.0004594162605384031","","","true"
"90","289.8424945966911","49.45964223090614","4.9056012967634945","-0.307867793738734","0.010498046875","0.00634765625","0.0146484375","1300","0.00015272036540157582","0","0.00015272036540157582","0.00015272036540157582","","","true"
"91","199.47935042584214","217.9359548325444","4.914597448282759","-0.30850221183732857","0.02783203125","0.0361328125","0.01953125","1300","0.0043352506130049885","0","0.0043352506130049885","0.0043352506130049885","91_79:0.016143837827563845","91_79:660","true"
"92","226.55341142110564","140.03738871097121","4.912107509263068","-0.308588011384664","0.007568359375","0.005859375","0.00927734375","1300","0.0003906556633868297","0","0.0003906556633868297","0.0003906556633868297","92_102:0.007070936525922555","92_102:660","true"
"93","108.37667240510896","35.978119782389115","4.964098109352413","-0.3073815906362206","0.103271484375","0.06884765625","0.1376953125","1300","0.0011779401049198657","0","0.0011779401049198657","0.0011779401049198657","93_106:0.015865424501538106;93_87:0.02242621953586682","93_106:660;93_87:740","true"
"94","250.59387357077537","153.93193818910032","4.975874868804886","-0.3076458715160733","0.017333984375","0.00927734375","0.025390625","1300","0.00023712703395357404","0","0.00023712703395357404","0.00023712703395357404","94_95:0.005689159776679997;94_90:0.006125709883760211","94_95:660;94_90:660","true"
"95","272.1096305138309","159.18926974050382","4.838894763041263","-0.3098764431196092","0.009765625","0.01220703125","0.00732421875","1300","0.00012558123491657438","0","0.00012558123491657438","0.00012558123491657438","95_96:0.005251004155924777","95_96:660","true"
"96","376.27188125006495","49.224602350469894","4.747930408569101","-0.3109191907797597","0.045166015625","0.0400390625","0.05029296875","1300","0.0002113897514837202","0","0.0002113897514837202","0.0002113897514837202","","","true"
"97","236.3391437970066","119.0673148561832","4.816158761742778","-0.3095561501235201","0.008056640625","0.005859375","0.01025390625","1300","0.0001844589428223974","0","0.0001844589428223974","0.0001844589428223974","97_96:0.007916185421996458;97_98:0.009730301616247938","97_96:660;97_98:660","true"
"98","196.39174711787263","104.1944385425581","4.942895465116934","-0.308363471215884","0.016357421875","0.0185546875","0.01416015625","1300","0.0007334945384926563","0","0.0007334945384926563","0.0007334945384926563","98_91:0.026734420086557353","98_91:660","true"
"99","254.24617230702842","258.1918191744948","5.060119875112646","-0.30553728570536653","0.015625","0.005859375","0.025390625","1300","0.00017399160378494825","0","0.00017399160378494825","0.00017399160378494825","99_98:0.01132837618910093","99_98:660","true"
"100","133.16481790055758","134.9609456543402","4.905355301086277","-0.3084392241160231","0.0126953125","0.01220703125","0.01318359375","1300","0.00021527711253406138","0","0.00021527711253406138","0.00021527711253406138","100_110:0.008032948173741727;100_99:0.028845813112519436","100_110:660;100_99:660","true"
"101","176.16093492139953","174.47284592759138","5.065363121591753","-0.3063331480679172","0.018310546875","0.00830078125","0.0283203125","1300","0.00022423619268712954","0","0.00022423619268712954","0.00022423619268712954","101_100:0.01413726719172842;101_102:0.007226008622043034","101_100:660;101_102:660","true"
"102","178.8952640805439","186.3588758514614","4.809691734874245","-0.30996470519230634","0.043701171875","0.04443359375","0.04296875","1300","0.0002753033678005675","0","0.0002753033678005675","0.0002753033678005675","102_103:0.011498154074036815","102_103:660","true"
"103","214.21531799593544","96.37262816411311","4.933450117274575","-0.30764620230723944","0.0068359375","0.00537109375","0.00830078125","1300","0.0002729872888187732","0","0.0002729872888187732","0.0002729872888187732","","","true"
"104","212.985463078427","135.01775732223402","4.765568270262312","-0.31046094866074025","0.011474609375","0.01171875","0.01123046875","1300","0.0003226748127000001","0","0.0003226748127000001","0.0003226748127000001","104_103:0.010896479473635978","104_103:660","true"
"105","163.11696589582982","79.75975738130415","4.982162179354164","-0.30759736332542964","0.010498046875","0.00634765625","0.0146484375","1300","0.0003886258713076833","0","0.0003886258713076833","0.0003886258713076833","105_104:0.009778300751142499;105_106:0.009473600989282183","105_104:660;105_106:660","true"
"106","110.21076854226867","15.267331384809056","4.878147411191742","-0.309312950580174","0.06689453125","0.0615234375","0.072265625","1300","0.00034492624341144867","0","0.00034492624341144867","0.00034492624341144867","","","true"
"107","211.55854065506102","30.52530325025217","4.916002313718492","-0.3080022405881546","0.03173828125","0.02392578125","0.03955078125","1300","0.00034621776525434064","0","0.00034621776525434064","0.00034621776525434064","107_106:0.01152107066995034","107_106:660","true"
"108","160.24873840773446","20.48990800427117","5.056169418579259","-0.3060067460745893","0.011474609375","0.00927734375","0.013671875","1300","0.0003145110546857121","0","0.0003145110546857121","0.0003145110546857121","108_112:0.014582804351413237;108_107:0.01592189288455259","108_112:660;108_107:660","true"
"109","287.98881472853265","237.21480324246014","4.9849716612604995","-0.3071158019842663","0.046630859375","0.0380859375","0.05517578125","1300","0.00017839278798298917","0","0.00017839278798298917","0.00017839278798298917","109_96:0.006996786018139134","109_96:660","true"
"110","242.345466537189","233.15133574747907","4.830168074233381","-0.3090472310608016","0.012451171875","0.013671875","0.01123046875","1300","0.0002499565101047725","0","0.0002499565101047725","0.0002499565101047725","110_118:0.006539301231196115","110_118:660","true"
"111","113.45441509323835","134.28900704230392","4.853242215327008","-0.30961255187582126","0.016845703125","0.02197265625","0.01171875","1300","0.0013780903306266352","0","0.0013780903306266352","0.0013780903306266352","111_104:0.013461355017278132","111_104:660","true"
"112","240.0979275037042","23.706409077748724","5.002420183905229","-0.3061965297474003","0.039794921875","0.005859375","0.07373046875","1300","0.00032952628373192783","0","0.00032952628373192783","0.00032952628373192783","112_126:0.011919425228770042","112_126:660","true"
"113","259.1141281875772","250.35151322766035","5.031994198235679","-0.30676917589658537","0.009521484375","0.00927734375","0.009765625","1300","0.0001944941592231002","0","0.0001944941592231002","0.0001944941592231002","113_114:0.005472277847036966","113_114:660","true"
"114","340.59412110967816","54.06061597339939","4.822458580678114","-0.30937991952553456","0.153564453125","0.14111328125","0.166015625","1300","1","0","1","1","114_109:0.005058377183971063;114_115:0.08372134692078859","114_109:660;114_115:660","true"
